year,area,population,snapHousehold,snapHouseholdWithChildren,snapMarriedWithChildren,snapOtherFamilyWithChildren,snapSingleFather,snapSingleMother,snapNonFamily,snapNoChildren,snapMarriedNoChildren,snapOtherFamilyNoChildren,snapSingleMale,snapSingleFemale,snapNonFamilyNoChildren,nonSnapHousehold,nonSnapHouseholdWithChildren,nonSnapMarriedWithChildren,nonSnapOtherFamilyWithChildren,nonSnapSingleFather,nonSnapSingleMother,nonSnapNonFamily,nonSnapNoChildren,nonSnapMarriedNoChildren,nonSnapOtherFamilyNoChildren,nonSnapSingleMale,nonSnapSingleFemale,nonSnapNonFamilyNoChildren
2015,House Creek,27332,1838,1249,299,943,262,681,7,589,86,110,0,110,393,25494,5537,3994,1533,376,1157,10,19957,6401,1170,290,880,12386
2015,Leesville,17421,467,278,86,192,83,109,0,189,75,31,0,31,83,16954,5921,4792,1129,297,832,0,11033,4620,569,133,436,5844
2015,Little River,4482,454,235,118,117,0,117,0,219,45,79,16,63,95,4028,1130,692,384,99,285,54,2898,1350,528,249,279,1020
2015,Marks Creek,7839,908,531,194,314,0,314,23,377,57,108,0,108,212,6931,2715,1814,844,245,599,57,4216,1985,381,132,249,1850
2015,Meredith,6941,392,240,51,141,0,141,48,152,33,17,0,17,102,6549,1239,919,304,95,209,16,5310,1552,202,126,76,3556
2015,Middle Creek,17084,1786,1304,469,835,207,628,0,482,47,134,77,57,301,15298,6364,5312,1028,373,655,24,8934,5037,755,321,434,3142
2015,Neuse,30221,3316,2549,714,1835,297,1538,0,767,221,156,19,137,390,26905,9250,5892,3325,899,2426,33,17655,6368,1459,362,1097,9828
2015,New Light,2792,155,57,35,22,0,22,0,98,0,18,0,18,80,2637,1244,1115,129,74,55,0,1393,993,71,18,53,329
2015,Panther Branch,8775,452,372,162,210,18,192,0,80,46,10,10,0,24,8323,2948,2358,584,187,397,6,5375,2939,279,84,195,2157
2015,Raleigh,46175,6401,3287,677,2583,249,2334,27,3114,259,593,136,457,2262,39774,8459,5817,2556,647,1909,86,31315,7833,1894,681,1213,21588
